Image,IoU
img_1,0.5
img_2,0.4166666666666667
img_3,0.3333333333333333
img_4,0.8
img_5,0.6
img_6,0.6153846153846154
img_7,0.3333333333333333
img_8,0.3333333333333333
img_9,0.058823529411764705
img_10,1.0
img_11,0.4666666666666667
img_12,0.25
img_13,1.0
img_14,0.3333333333333333
img_15,0.18518518518518517
img_16,0.5384615384615384
img_17,0.4
img_18,0.8333333333333334
img_19,0.2
img_20,0.23076923076923078
img_21,0.4
img_22,0.7777777777777778
img_23,0.2222222222222222
img_24,0.27586206896551724
img_25,0.6
img_26,0.21052631578947367
img_27,0.21052631578947367
img_28,0.3333333333333333
img_29,0.8
img_30,0.36363636363636365
img_31,0.8
img_32,0.13333333333333333
img_33,0.2222222222222222
img_34,0.4482758620689655
img_35,0.2777777777777778
img_36,0.25
img_37,0.2
img_38,0.38461538461538464
img_39,0.6
img_40,0.6363636363636364
img_41,1.0
img_42,0.35714285714285715
img_43,0.24390243902439024
img_44,0.25
img_45,0.625
img_46,0.34782608695652173
img_47,0.3333333333333333
img_48,0.35294117647058826
img_49,1.0
img_50,0.15
Average,0.4447048521207101
